Gen	theta_1M	theta_2T	theta_3N	theta_4R	theta_5S	theta_6X	theta_7Y	tau_4R	tau_5S	tau_6X	tau_7Y	phi_X	phi_Y	lnL
6300	0.001720	0.002701	0.013665	0.004757	0.007566	0.003074	0.014390	0.004682	0.002251	0.000776	0.000776	0.833510	0.737802	-156121.964
6305	0.001720	0.003175	0.013706	0.004842	0.008616	0.003369	0.014609	0.004640	0.002236	0.000708	0.000708	0.852672	0.749601	-156153.250
6310	0.001634	0.003016	0.017228	0.004408	0.008107	0.003577	0.011657	0.004500	0.002352	0.000602	0.000602	0.862725	0.776401	-156143.957
6315	0.001661	0.002452	0.016175	0.004414	0.005896	0.003636	0.011222	0.004608	0.002558	0.000612	0.000612	0.862725	0.748332	-156171.720
6320	0.001743	0.002573	0.015076	0.004546	0.005737	0.005196	0.013992	0.004875	0.002700	0.000698	0.000698	0.881191	0.722344	-156172.709
6325	0.001743	0.002573	0.013844	0.004546	0.005568	0.004216	0.014932	0.004875	0.002756	0.000758	0.000758	0.910099	0.670871	-156151.308
6330	0.001695	0.002502	0.013610	0.004291	0.006449	0.004100	0.011863	0.004802	0.002600	0.000737	0.000737	0.856441	0.734087	-156190.017
6335	0.002201	0.002935	0.014397	0.004682	0.005921	0.003322	0.014295	0.005000	0.002756	0.000861	0.000861	0.770060	0.782298	-156174.268
6340	0.002201	0.003310	0.012548	0.005108	0.006069	0.002932	0.016280	0.004815	0.002773	0.000831	0.000831	0.730785	0.782298	-156151.768
6345	0.002298	0.003456	0.014325	0.004921	0.006944	0.003266	0.017167	0.005027	0.002828	0.000932	0.000932	0.744313	0.787060	-156179.678
6350	0.002141	0.004329	0.013139	0.005006	0.005586	0.003630	0.018387	0.004684	0.002634	0.000882	0.000882	0.707458	0.840040	-156182.599
6355	0.002120	0.003555	0.011531	0.004957	0.005140	0.003521	0.017050	0.004639	0.002735	0.000892	0.000892	0.707458	0.810655	-156198.376
6360	0.002223	0.003695	0.013103	0.004935	0.005457	0.003325	0.020008	0.004965	0.002846	0.001038	0.001038	0.733415	0.819730	-156209.251
6365	0.002205	0.003575	0.012726	0.004709	0.005694	0.003818	0.021732	0.004897	0.002739	0.001075	0.001075	0.764964	0.819730	-156206.768
6370	0.002440	0.003631	0.014565	0.004783	0.005810	0.003669	0.021389	0.004974	0.002696	0.001014	0.001014	0.748484	0.805157	-156201.363
6375	0.002661	0.003675	0.015948	0.005018	0.005627	0.003713	0.022202	0.004952	0.002850	0.001027	0.001027	0.771358	0.796001	-156150.932
6380	0.002451	0.003615	0.012965	0.004912	0.005301	0.003495	0.022351	0.004750	0.002652	0.000997	0.000997	0.734900	0.787117	-156205.901
6385	0.002441	0.003602	0.013019	0.004859	0.005630	0.003179	0.019676	0.004745	0.002540	0.001002	0.001002	0.812328	0.812388	-156225.385
6390	0.002443	0.003604	0.012991	0.004863	0.005920	0.003015	0.018041	0.004748	0.002538	0.001058	0.001058	0.797076	0.812388	-156171.687
6395	0.002422	0.003574	0.014012	0.004739	0.005915	0.003809	0.019969	0.004748	0.002398	0.001080	0.001080	0.828141	0.860586	-156206.516
6400	0.002463	0.003441	0.015240	0.004819	0.005968	0.005777	0.022692	0.004829	0.002577	0.000982	0.000982	0.833717	0.860586	-156206.280
6405	0.002416	0.003375	0.015302	0.004507	0.005160	0.005772	0.022485	0.004841	0.002738	0.000945	0.000945	0.817078	0.829871	-156263.694
6410	0.002031	0.003215	0.014137	0.004160	0.005488	0.004799	0.020858	0.004675	0.002661	0.000883	0.000883	0.845028	0.895536	-156186.896
6415	0.002143	0.003392	0.013441	0.004358	0.005248	0.006103	0.019839	0.004948	0.002889	0.000773	0.000773	0.810505	0.874969	-156175.430
6420	0.002143	0.002716	0.015062	0.004358	0.005238	0.006055	0.021379	0.004948	0.003025	0.000869	0.000869	0.806607	0.851641	-156228.810
6425	0.002095	0.002655	0.016275	0.004319	0.004533	0.005837	0.016977	0.004811	0.002888	0.000931	0.000931	0.792107	0.851641	-156169.433
6430	0.002160	0.002737	0.015430	0.004589	0.004668	0.007583	0.017687	0.004905	0.002793	0.000762	0.000762	0.724432	0.885852	-156223.615
6435	0.001919	0.002737	0.012822	0.004492	0.004918	0.005831	0.015232	0.004950	0.003077	0.000724	0.000724	0.747841	0.869893	-156164.247
6440	0.002011	0.002868	0.015008	0.004559	0.005043	0.004862	0.015539	0.005250	0.003278	0.000840	0.000840	0.743970	0.899736	-156175.414
6445	0.001950	0.002781	0.015154	0.004207	0.005574	0.005140	0.016415	0.005187	0.003087	0.000748	0.000748	0.771393	0.864565	-156217.741
6450	0.001946	0.002776	0.015360	0.004259	0.005401	0.005564	0.013043	0.005148	0.003152	0.000787	0.000787	0.745231	0.831751	-156221.096
6455	0.001937	0.002763	0.015838	0.004239	0.004756	0.004603	0.013748	0.005124	0.003174	0.000817	0.000817	0.728380	0.875579	-156288.509
6460	0.001946	0.002776	0.013654	0.004189	0.005572	0.005076	0.012730	0.005181	0.003042	0.000747	0.000747	0.772905	0.875579	-156198.396
