Gen	theta_1M	theta_2T	theta_3N	theta_4R	theta_5S	theta_6X	theta_7Y	tau_4R	tau_5S	tau_6X	tau_7Y	phi_X	phi_Y	lnL
5	0.001827	0.002328	0.016580	0.004219	0.004218	0.008735	0.005951	0.004828	0.003430	0.000624	0.000624	0.298305	0.058300	-156203.493
10	0.001785	0.002275	0.016716	0.004024	0.005125	0.007969	0.005914	0.004752	0.003036	0.000610	0.000610	0.316679	0.058300	-156136.275
15	0.001972	0.002513	0.016497	0.004640	0.006736	0.007738	0.005749	0.005165	0.003025	0.000673	0.000673	0.289508	0.024529	-156180.452
20	0.001897	0.002579	0.015543	0.004462	0.006292	0.007499	0.005529	0.004967	0.002661	0.000722	0.000722	0.235387	0.045944	-156143.741
25	0.001866	0.003165	0.014441	0.004390	0.006211	0.007513	0.005439	0.004886	0.002611	0.000710	0.000710	0.261605	0.067931	-156155.858
30	0.001866	0.002902	0.014251	0.004383	0.005950	0.008936	0.005439	0.005005	0.002694	0.000710	0.000710	0.260769	0.067931	-156206.597
35	0.001849	0.002876	0.014673	0.004343	0.005825	0.011525	0.006419	0.004960	0.002694	0.000704	0.000704	0.260769	0.067931	-156154.436
40	0.001597	0.002876	0.015538	0.004445	0.005542	0.011432	0.006860	0.004908	0.002795	0.000704	0.000704	0.219068	0.067931	-156206.739
45	0.001611	0.002933	0.015112	0.004369	0.005619	0.012879	0.007903	0.005002	0.002581	0.000688	0.000688	0.219068	0.101838	-156206.954
50	0.001583	0.002883	0.015477	0.004691	0.006008	0.012815	0.006923	0.004969	0.002543	0.000633	0.000633	0.155442	0.091059	-156159.077
55	0.001536	0.003023	0.015913	0.004634	0.005054	0.013687	0.007225	0.004778	0.002460	0.000683	0.000683	0.176424	0.106305	-156136.638
60	0.001611	0.003171	0.018587	0.004862	0.005223	0.013864	0.006908	0.005013	0.002609	0.000775	0.000775	0.196855	0.095295	-156174.823
65	0.001550	0.003051	0.017295	0.004677	0.005442	0.015457	0.006109	0.004823	0.002492	0.000746	0.000746	0.196855	0.079832	-156184.780
70	0.001512	0.002977	0.017833	0.004564	0.005906	0.017214	0.005150	0.004706	0.002411	0.000655	0.000655	0.195097	0.109530	-156176.292
75	0.001569	0.002706	0.015224	0.004736	0.005385	0.023716	0.004045	0.004884	0.002718	0.000590	0.000590	0.260037	0.109530	-156168.544
80	0.001226	0.002706	0.014219	0.005202	0.005852	0.028434	0.004955	0.004921	0.002545	0.000541	0.000541	0.216637	0.099703	-156211.476
85	0.001239	0.002987	0.013606	0.004684	0.005859	0.029219	0.005009	0.004952	0.002592	0.000520	0.000520	0.197540	0.090759	-156137.235
90	0.001246	0.003003	0.014639	0.004827	0.005992	0.030405	0.005089	0.004926	0.002675	0.000523	0.000523	0.173167	0.090759	-156165.501
95	0.001216	0.002517	0.013711	0.005063	0.005333	0.029826	0.004160	0.004650	0.002697	0.000510	0.000510	0.203435	0.071204	-156174.620
100	0.001209	0.002780	0.015152	0.004793	0.005356	0.028032	0.004135	0.004725	0.002659	0.000507	0.000507	0.179489	0.071204	-156182.836
105	0.001209	0.003360	0.015307	0.004885	0.005248	0.027284	0.004745	0.004686	0.002703	0.000507	0.000507	0.185630	0.071204	-156164.670
110	0.001184	0.002856	0.016157	0.004788	0.005838	0.024574	0.003880	0.004592	0.002563	0.000497	0.000497	0.201868	0.093026	-156151.155
115	0.001174	0.002831	0.014893	0.005218	0.005634	0.020221	0.003845	0.004585	0.002596	0.000539	0.000539	0.222856	0.093026	-156163.710
120	0.001177	0.003548	0.014413	0.005156	0.005685	0.018254	0.004466	0.004626	0.002589	0.000541	0.000541	0.222856	0.093026	-156158.026
125	0.001142	0.002897	0.013730	0.005072	0.007740	0.014959	0.003899	0.004459	0.002184	0.000525	0.000525	0.222856	0.076744	-156147.113
130	0.001142	0.002897	0.016046	0.004906	0.007102	0.012818	0.005661	0.004529	0.002311	0.000585	0.000585	0.230407	0.076744	-156143.237
135	0.001192	0.002283	0.018097	0.005120	0.007220	0.016104	0.006187	0.004726	0.002462	0.000467	0.000467	0.256541	0.062214	-156137.368
140	0.001175	0.002250	0.016525	0.005307	0.005950	0.018177	0.005636	0.004700	0.002570	0.000412	0.000412	0.270559	0.041550	-156149.429
145	0.001134	0.002172	0.015952	0.005562	0.005938	0.018606	0.005216	0.004563	0.002234	0.000366	0.000366	0.277780	0.041550	-156123.111
150	0.001221	0.002339	0.018636	0.005847	0.005842	0.019727	0.006482	0.004817	0.002244	0.000394	0.000394	0.350142	0.069418	-156151.043
155	0.001188	0.002276	0.015177	0.005342	0.005919	0.014646	0.006544	0.004689	0.002195	0.000490	0.000490	0.321961	0.069418	-156171.759
160	0.001213	0.002621	0.014684	0.005451	0.005690	0.011577	0.008199	0.004785	0.002439	0.000500	0.000500	0.356557	0.069418	-156195.367
165	0.001176	0.001712	0.013229	0.005552	0.005278	0.010260	0.008478	0.004531	0.002186	0.000485	0.000485	0.370295	0.069418	-156138.607
170	0.001192	0.001735	0.015733	0.005593	0.005740	0.014733	0.008604	0.004606	0.002182	0.000452	0.000452	0.358235	0.020008	-156198.733
175	0.001192	0.001735	0.014704	0.005593	0.005777	0.013802	0.008653	0.004606	0.002296	0.000521	0.000521	0.308887	0.005585	-156052.764
180	0.001240	0.001805	0.015737	0.005429	0.006362	0.011136	0.010456	0.004738	0.002285	0.000535	0.000535	0.238285	0.005585	-156141.590
185	0.001288	0.001874	0.014008	0.005253	0.006342	0.009063	0.008981	0.004739	0.002279	0.000556	0.000556	0.259257	0.005585	-156153.630
190	0.001288	0.001874	0.013920	0.005253	0.007103	0.006613	0.010403	0.004739	0.002269	0.000579	0.000579	0.243461	0.005585	-156182.416
195	0.001284	0.001869	0.013589	0.005239	0.008997	0.009416	0.007881	0.004726	0.001994	0.000525	0.000525	0.271776	0.005585	-156161.018
200	0.001256	0.001829	0.013245	0.004872	0.009787	0.010305	0.007432	0.004761	0.001893	0.000490	0.000490	0.239078	0.005585	-156157.222
205	0.001278	0.001860	0.012984	0.004799	0.007880	0.012491	0.007807	0.004929	0.002233	0.000498	0.000498	0.268633	0.036433	-156166.732
210	0.001241	0.002140	0.013091	0.005234	0.006702	0.011480	0.006838	0.004787	0.002198	0.000547	0.000547	0.252558	0.026976	-156174.668
215	0.001262	0.002176	0.013895	0.005320	0.007145	0.009473	0.007371	0.004868	0.002157	0.000519	0.000519	0.252558	0.026976	-156136.052
220	0.001275	0.002199	0.014040	0.005377	0.006126	0.011171	0.007299	0.004920	0.002245	0.000524	0.000524	0.216129	0.047277	-156179.602
225	0.001267	0.002186	0.014031	0.005315	0.007327	0.010429	0.006764	0.004804	0.002065	0.000521	0.000521	0.201393	0.077789	-156129.883
230	0.001221	0.002105	0.014449	0.005099	0.007117	0.008779	0.005652	0.004638	0.001994	0.000502	0.000502	0.214794	0.077789	-156134.607
235	0.001266	0.002183	0.015608	0.005492	0.006052	0.011582	0.006416	0.004709	0.002272	0.000461	0.000461	0.214794	0.077789	-156144.123
240	0.001266	0.002183	0.014431	0.005607	0.005685	0.008844	0.005040	0.004660	0.002388	0.000506	0.000506	0.190978	0.095061	-156167.653
245	0.001279	0.002206	0.015035	0.005668	0.005653	0.006785	0.005927	0.004711	0.002340	0.000512	0.000512	0.190978	0.095061	-156123.767
250	0.001345	0.002319	0.013558	0.005417	0.005576	0.007541	0.005024	0.004761	0.002650	0.000512	0.000512	0.190978	0.095061	-156132.351
255	0.001315	0.001951	0.012154	0.005444	0.005638	0.010393	0.004767	0.004656	0.002607	0.000501	0.000501	0.187663	0.095061	-156152.825
260	0.001305	0.001936	0.012731	0.005620	0.007246	0.009644	0.004417	0.004540	0.002365	0.000497	0.000497	0.187663	0.079852	-156117.541
265	0.001305	0.001936	0.013929	0.005832	0.006130	0.008773	0.005714	0.004620	0.002582	0.000497	0.000497	0.215027	0.079852	-156088.053
270	0.001251	0.001855	0.014055	0.004888	0.006565	0.010035	0.005025	0.004531	0.002345	0.000476	0.000476	0.181924	0.079852	-156157.195
275	0.001315	0.002196	0.015527	0.005289	0.006579	0.011071	0.006015	0.004701	0.002425	0.000467	0.000467	0.201676	0.062137	-156132.848
280	0.001316	0.002199	0.014827	0.005293	0.006476	0.010204	0.005901	0.004707	0.002462	0.000468	0.000468	0.186859	0.098295	-156139.332
285	0.001299	0.002171	0.014548	0.005225	0.006874	0.010763	0.006005	0.004646	0.002292	0.000462	0.000462	0.209595	0.091291	-156134.088
290	0.001233	0.002061	0.012070	0.005230	0.005759	0.008966	0.006775	0.004408	0.002407	0.000438	0.000438	0.209595	0.095971	-156140.920
295	0.001291	0.002157	0.012953	0.005481	0.007504	0.008657	0.008068	0.004611	0.002328	0.000459	0.000459	0.161874	0.098747	-156136.499
300	0.001291	0.002157	0.012716	0.005337	0.006370	0.010733	0.005327	0.004672	0.002285	0.000433	0.000433	0.119842	0.148906	-156150.957
305	0.001331	0.001832	0.012630	0.005109	0.006835	0.009834	0.006458	0.004815	0.002280	0.000446	0.000446	0.102046	0.155146	-156157.324
310	0.001329	0.001829	0.012541	0.004956	0.007096	0.008048	0.006245	0.004877	0.002341	0.000445	0.000445	0.068221	0.147834	-156149.043
315	0.001309	0.001802	0.013393	0.004884	0.006155	0.009583	0.007376	0.004806	0.002319	0.000439	0.000439	0.068221	0.144482	-156191.183
320	0.001270	0.001748	0.013345	0.004367	0.006572	0.010041	0.008753	0.004565	0.002307	0.000426	0.000426	0.068221	0.114899	-156137.245
325	0.001337	0.001840	0.015115	0.004520	0.006739	0.009628	0.007716	0.004849	0.002343	0.000448	0.000448	0.068221	0.099461	-156162.422
330	0.001325	0.001527	0.015646	0.004479	0.006110	0.007143	0.008355	0.004804	0.002394	0.000444	0.000444	0.068221	0.099461	-156188.550
335	0.001317	0.001517	0.015270	0.004769	0.004972	0.009960	0.008801	0.004741	0.002527	0.000321	0.000321	0.068221	0.117354	-156149.053
340	0.001317	0.001932	0.015311	0.004769	0.004633	0.008765	0.011351	0.004741	0.002685	0.000364	0.000364	0.068221	0.075913	-156213.685
345	0.001298	0.001564	0.017333	0.004703	0.004746	0.008947	0.011083	0.004675	0.002454	0.000359	0.000359	0.055721	0.075913	-156192.733
350	0.001353	0.002161	0.016488	0.004902	0.005035	0.008074	0.008941	0.004873	0.002520	0.000374	0.000374	0.055721	0.096212	-156232.073
355	0.001321	0.002109	0.015111	0.004779	0.005085	0.007651	0.006898	0.004794	0.002543	0.000365	0.000365	0.055721	0.127591	-156165.616
360	0.001321	0.002896	0.013056	0.004892	0.005298	0.009168	0.006898	0.004742	0.002635	0.000365	0.000365	0.080962	0.099486	-156177.123
365	0.001231	0.002573	0.011395	0.004559	0.005900	0.006910	0.005543	0.004419	0.002521	0.000396	0.000396	0.080962	0.099486	-156124.838
370	0.001291	0.002699	0.012269	0.005171	0.005256	0.007337	0.005813	0.004595	0.002867	0.000388	0.000388	0.080962	0.130533	-156148.574
375	0.001310	0.002298	0.012672	0.005139	0.006699	0.007387	0.005585	0.004701	0.002645	0.000393	0.000393	0.080962	0.130533	-156099.629
380	0.001310	0.002298	0.014821	0.005139	0.006262	0.008155	0.006137	0.004701	0.002679	0.000463	0.000463	0.110318	0.090466	-156168.345
385	0.001310	0.002589	0.014039	0.004915	0.006414	0.005782	0.006137	0.004701	0.002627	0.000463	0.000463	0.139459	0.090466	-156123.302
390	0.001310	0.002589	0.015182	0.005487	0.006765	0.007215	0.004961	0.004701	0.002515	0.000463	0.000463	0.106224	0.065766	-156169.211
395	0.001279	0.002529	0.014468	0.005408	0.006123	0.008734	0.005385	0.004573	0.002462	0.000452	0.000452	0.106224	0.065766	-156161.707
400	0.001242	0.003265	0.013649	0.005245	0.006448	0.010196	0.006302	0.004445	0.002417	0.000439	0.000439	0.115471	0.096564	-156111.230
405	0.001174	0.002374	0.012675	0.005318	0.006468	0.009271	0.005627	0.004363	0.002176	0.000415	0.000415	0.115471	0.096564	-156120.469
410	0.001210	0.002446	0.013061	0.005744	0.006823	0.007447	0.004700	0.004595	0.002201	0.000487	0.000487	0.107861	0.115884	-156138.134
415	0.001210	0.002082	0.013862	0.005801	0.007164	0.008796	0.004429	0.004573	0.002097	0.000420	0.000420	0.107861	0.146623	-156130.332
420	0.001224	0.002107	0.014868	0.005871	0.006944	0.008851	0.003574	0.004627	0.001814	0.000425	0.000425	0.082898	0.095420	-156131.623
425	0.001260	0.002581	0.015169	0.005112	0.006774	0.010427	0.004991	0.004645	0.001868	0.000438	0.000438	0.082898	0.073623	-156146.476
430	0.001234	0.002152	0.014223	0.005005	0.007466	0.012745	0.005076	0.004549	0.001780	0.000370	0.000370	0.082898	0.073623	-156145.232
435	0.001307	0.002795	0.016008	0.005300	0.008352	0.010355	0.003778	0.004817	0.001808	0.000453	0.000453	0.080425	0.056172	-156121.060
440	0.001269	0.002467	0.014727	0.005285	0.009673	0.010567	0.003955	0.004677	0.001749	0.000440	0.000440	0.080425	0.056172	-156094.229
445	0.001241	0.002552	0.013599	0.005065	0.009094	0.006845	0.003866	0.004631	0.001635	0.000513	0.000513	0.095709	0.056172	-156123.542
450	0.001305	0.002154	0.014008	0.005226	0.008739	0.008625	0.004111	0.004932	0.001746	0.000461	0.000461	0.139998	0.073055	-156157.091
455	0.001282	0.002115	0.015125	0.005025	0.006137	0.009024	0.005745	0.004750	0.002036	0.000453	0.000453	0.139998	0.073055	-156103.878
460	0.001266	0.002599	0.014148	0.004951	0.006143	0.011899	0.005560	0.004694	0.002072	0.000422	0.000422	0.126048	0.073055	-156133.510
465	0.001270	0.002608	0.015863	0.005209	0.005266	0.009473	0.004977	0.004588	0.002183	0.000457	0.000457	0.113161	0.073055	-156167.116
470	0.001302	0.002117	0.016435	0.004768	0.005902	0.010277	0.005104	0.004871	0.002198	0.000375	0.000375	0.093869	0.086464	-156142.926
475	0.001354	0.002201	0.016177	0.004884	0.006544	0.009576	0.004900	0.005107	0.002351	0.000468	0.000468	0.093869	0.068868	-156194.266
480	0.001268	0.002352	0.015597	0.004421	0.005976	0.008084	0.004953	0.004872	0.002247	0.000438	0.000438	0.128210	0.052049	-156154.983
485	0.001287	0.002199	0.015187	0.004636	0.005541	0.010169	0.006015	0.004862	0.002455	0.000445	0.000445	0.165857	0.062747	-156172.955
490	0.001230	0.002615	0.015027	0.005330	0.005272	0.009456	0.005554	0.004647	0.002216	0.000510	0.000510	0.198807	0.078645	-156164.726
495	0.001283	0.002279	0.015206	0.005335	0.004817	0.009998	0.006864	0.004786	0.002561	0.000532	0.000532	0.198807	0.078645	-156201.931
500	0.001332	0.002774	0.012393	0.004987	0.004377	0.008979	0.006763	0.004911	0.002961	0.000552	0.000552	0.200935	0.033791	-156200.668
505	0.001314	0.002736	0.014873	0.004726	0.004919	0.008138	0.007031	0.004928	0.002791	0.000552	0.000552	0.155239	0.033791	-156151.420
510	0.001269	0.002642	0.013738	0.004563	0.004775	0.011813	0.006167	0.004759	0.002686	0.000490	0.000490	0.178089	0.018914	-156188.509
515	0.001330	0.003395	0.016449	0.004831	0.004695	0.014011	0.005807	0.004969	0.002773	0.000496	0.000496	0.176609	0.023408	-156185.905
520	0.001309	0.002484	0.015453	0.004915	0.005749	0.012928	0.006129	0.004823	0.002628	0.000415	0.000415	0.171079	0.023408	-156184.406
525	0.001271	0.002412	0.016395	0.004812	0.005456	0.014178	0.006555	0.004667	0.002601	0.000403	0.000403	0.190729	0.023408	-156221.504
530	0.001239	0.002352	0.015935	0.004804	0.005871	0.012622	0.005930	0.004663	0.002312	0.000424	0.000424	0.174369	0.023408	-156164.060
535	0.001203	0.001932	0.015308	0.005021	0.006534	0.013330	0.005434	0.004592	0.002126	0.000412	0.000412	0.123601	0.023408	-156158.208
540	0.001241	0.001993	0.014228	0.005086	0.007458	0.013564	0.006790	0.004785	0.002061	0.000425	0.000425	0.112416	0.023408	-156173.778
545	0.001223	0.001964	0.015262	0.005165	0.006477	0.012160	0.005731	0.004636	0.002195	0.000419	0.000419	0.121931	0.026393	-156094.903
550	0.001181	0.001779	0.014343	0.005418	0.006390	0.011761	0.005939	0.004477	0.002310	0.000404	0.000404	0.146802	0.054052	-156118.998
555	0.001203	0.001812	0.014417	0.005516	0.006253	0.012707	0.006769	0.004559	0.002257	0.000363	0.000363	0.127007	0.044344	-156158.609
560	0.001169	0.001762	0.013845	0.005364	0.005323	0.011611	0.007886	0.004433	0.002295	0.000353	0.000353	0.127007	0.044344	-156167.655
565	0.001221	0.001840	0.012961	0.005602	0.005368	0.012959	0.007039	0.004629	0.002194	0.000369	0.000369	0.095906	0.044344	-156173.362
570	0.001233	0.001858	0.015951	0.005657	0.005560	0.012243	0.008726	0.004675	0.002170	0.000338	0.000338	0.115435	0.044344	-156125.317
575	0.001179	0.001776	0.014165	0.005227	0.006370	0.011040	0.006442	0.004553	0.002081	0.000387	0.000387	0.081339	0.044344	-156156.479
580	0.001137	0.001713	0.014210	0.005022	0.006504	0.009797	0.005568	0.004403	0.001926	0.000373	0.000373	0.101436	0.044344	-156175.953
585	0.001186	0.001786	0.015574	0.005236	0.007599	0.010102	0.005415	0.004589	0.001833	0.000389	0.000389	0.101436	0.044344	-156126.931
590	0.001217	0.001834	0.017626	0.005465	0.007548	0.010583	0.007396	0.004664	0.001768	0.000370	0.000370	0.105927	0.044344	-156125.912
595	0.001220	0.001838	0.017350	0.004861	0.008410	0.008588	0.005592	0.004770	0.001631	0.000346	0.000346	0.134544	0.044344	-156131.872
600	0.001231	0.001854	0.015314	0.005204	0.006982	0.007735	0.007467	0.004882	0.001818	0.000349	0.000349	0.104631	0.044344	-156110.732
605	0.001203	0.001812	0.014534	0.005086	0.006761	0.007268	0.007015	0.004771	0.001838	0.000369	0.000369	0.169342	0.044344	-156151.814
610	0.001203	0.001780	0.014064	0.005666	0.007914	0.006997	0.005879	0.004764	0.001624	0.000369	0.000369	0.188867	0.044344	-156123.632
615	0.001182	0.001750	0.013281	0.005571	0.006175	0.005982	0.006679	0.004683	0.001678	0.000432	0.000432	0.208127	0.044344	-156146.902
620	0.001172	0.001736	0.014359	0.005523	0.006511	0.007321	0.007058	0.004653	0.001949	0.000429	0.000429	0.193358	0.022786	-156138.480
625	0.001172	0.001736	0.015087	0.005321	0.007017	0.008379	0.008661	0.004559	0.001873	0.000429	0.000429	0.155145	0.037170	-156136.539
630	0.001221	0.001808	0.015044	0.005619	0.006237	0.008170	0.007683	0.004711	0.002045	0.000447	0.000447	0.149082	0.037170	-156095.431
635	0.001170	0.001732	0.013554	0.005251	0.006263	0.010354	0.007542	0.004582	0.001963	0.000428	0.000428	0.105659	0.037170	-156087.693
640	0.001139	0.001838	0.014637	0.004906	0.006633	0.009823	0.007833	0.004568	0.001925	0.000417	0.000417	0.093699	0.037170	-156123.825
645	0.001139	0.001838	0.014868	0.005485	0.007285	0.010260	0.006173	0.004638	0.002019	0.000372	0.000372	0.093699	0.039178	-156139.859
650	0.001120	0.002267	0.012748	0.005006	0.005636	0.009326	0.007223	0.004559	0.002226	0.000366	0.000366	0.054348	0.039178	-156199.235
655	0.001219	0.001750	0.014666	0.005467	0.006361	0.011116	0.007347	0.004956	0.002352	0.000326	0.000326	0.108535	0.039178	-156144.362
660	0.001123	0.001612	0.013617	0.004971	0.006479	0.009721	0.006662	0.004596	0.002186	0.000349	0.000349	0.108535	0.039178	-156120.875
665	0.001182	0.001696	0.015360	0.004519	0.007171	0.009226	0.008401	0.004855	0.002205	0.000367	0.000367	0.108535	0.039178	-156169.699
670	0.001157	0.001660	0.016131	0.004566	0.007351	0.007963	0.009755	0.004665	0.002076	0.000359	0.000359	0.108673	0.039178	-156137.872
675	0.001157	0.001889	0.015166	0.004461	0.007503	0.011056	0.010531	0.004726	0.001957	0.000359	0.000359	0.088691	0.039178	-156189.895
680	0.001169	0.001909	0.014406	0.004657	0.006818	0.007578	0.011954	0.004688	0.001915	0.000421	0.000421	0.121472	0.053790	-156149.110
685	0.001189	0.001942	0.014678	0.004968	0.008775	0.007789	0.012853	0.004830	0.001681	0.000428	0.000428	0.168216	0.053790	-156167.388
690	0.001218	0.001989	0.015842	0.005166	0.007199	0.011269	0.012839	0.004899	0.001938	0.000439	0.000439	0.155961	0.053790	-156143.024
695	0.001226	0.002001	0.014313	0.005082	0.007238	0.011030	0.015039	0.004755	0.001951	0.000441	0.000441	0.142692	0.038190	-156180.592
700	0.001240	0.002024	0.015096	0.005140	0.007119	0.007902	0.013514	0.004810	0.001836	0.000447	0.000447	0.132849	0.022234	-156130.940
705	0.001212	0.001979	0.014398	0.005566	0.006870	0.006713	0.013922	0.004810	0.001706	0.000437	0.000437	0.105872	0.046351	-156091.039
710	0.001184	0.001934	0.012940	0.005536	0.005036	0.008721	0.016192	0.004648	0.001908	0.000427	0.000427	0.074902	0.046351	-156161.344
715	0.001168	0.001621	0.012725	0.005304	0.005942	0.007345	0.013671	0.004583	0.001827	0.000421	0.000421	0.165271	0.046351	-156125.487
720	0.001182	0.001642	0.014824	0.005539	0.007029	0.007520	0.012981	0.004557	0.001916	0.000426	0.000426	0.194869	0.046351	-156114.539
725	0.001215	0.001687	0.013650	0.005312	0.007242	0.007231	0.014411	0.004733	0.002043	0.000437	0.000437	0.177897	0.062243	-156174.848
730	0.001189	0.001650	0.013238	0.005331	0.006346	0.007162	0.012723	0.004566	0.002183	0.000428	0.000428	0.177897	0.062243	-156177.912
735	0.001230	0.001708	0.014171	0.005590	0.006539	0.009592	0.012699	0.004803	0.002268	0.000443	0.000443	0.163211	0.062243	-156128.753
740	0.001186	0.001646	0.011624	0.005227	0.006660	0.011381	0.010977	0.004706	0.002293	0.000427	0.000427	0.163211	0.062243	-156145.883
745	0.001186	0.001646	0.014174	0.005283	0.005643	0.010393	0.008810	0.004681	0.002386	0.000427	0.000427	0.138517	0.062243	-156191.874
750	0.001191	0.001653	0.016218	0.004891	0.005318	0.009628	0.009292	0.004701	0.002525	0.000429	0.000429	0.166015	0.062243	-156166.018
755	0.001191	0.001653	0.017329	0.004891	0.005256	0.009458	0.007311	0.004701	0.002549	0.000429	0.000429	0.192421	0.093089	-156176.479
760	0.001197	0.001662	0.017422	0.005080	0.004407	0.009608	0.008641	0.004660	0.002652	0.000431	0.000431	0.198773	0.112532	-156152.470
765	0.001212	0.001682	0.017881	0.004965	0.004242	0.007948	0.007859	0.004790	0.002801	0.000436	0.000436	0.197637	0.052740	-156171.050
770	0.001158	0.002217	0.015621	0.005175	0.003919	0.006644	0.006773	0.004520	0.002753	0.000459	0.000459	0.207019	0.052740	-156171.387
775	0.001118	0.002139	0.016669	0.004804	0.003624	0.008069	0.006096	0.004425	0.002753	0.000388	0.000388	0.173259	0.052740	-156182.933
780	0.001148	0.002197	0.016943	0.004812	0.004285	0.007770	0.006040	0.004587	0.002965	0.000398	0.000398	0.143000	0.030715	-156159.828
785	0.001142	0.002186	0.017056	0.004906	0.003545	0.008350	0.005892	0.004526	0.003001	0.000356	0.000356	0.169800	0.030715	-156182.874
790	0.001179	0.002257	0.016094	0.005065	0.003716	0.011730	0.006129	0.004672	0.003211	0.000368	0.000368	0.207983	0.030715	-156159.468
795	0.001168	0.002235	0.017287	0.005401	0.003644	0.009809	0.006055	0.004662	0.003208	0.000408	0.000408	0.207983	0.056800	-156146.463
800	0.001120	0.002144	0.016464	0.005073	0.003735	0.007523	0.005807	0.004502	0.002904	0.000391	0.000391	0.182220	0.056800	-156149.633
805	0.001126	0.002155	0.016264	0.004890	0.003988	0.008623	0.006242	0.004599	0.002771	0.000368	0.000368	0.182220	0.055612	-156155.326
810	0.001178	0.001905	0.016312	0.004964	0.004447	0.009939	0.006666	0.004870	0.002823	0.000338	0.000338	0.227874	0.045934	-156160.866
815	0.001148	0.001856	0.013872	0.004837	0.005421	0.009542	0.005845	0.004745	0.002671	0.000330	0.000330	0.196084	0.067948	-156137.812
820	0.001148	0.002253	0.013746	0.004661	0.005654	0.009039	0.004752	0.004824	0.002574	0.000330	0.000330	0.196084	0.086211	-156154.576
825	0.001148	0.002253	0.013361	0.004661	0.005348	0.008107	0.005099	0.004824	0.002703	0.000330	0.000330	0.165251	0.076020	-156173.788
830	0.001152	0.002262	0.013083	0.004679	0.005321	0.008664	0.005978	0.004843	0.002735	0.000331	0.000331	0.186790	0.050504	-156203.627
835	0.001146	0.002249	0.014307	0.004934	0.004419	0.010207	0.005944	0.004696	0.002891	0.000329	0.000329	0.166645	0.064372	-156174.326
840	0.001148	0.002254	0.012954	0.004862	0.004457	0.007779	0.005716	0.004739	0.002692	0.000388	0.000388	0.166645	0.083042	-156144.200
845	0.001164	0.002115	0.014593	0.005129	0.003830	0.010555	0.005045	0.004730	0.002892	0.000394	0.000394	0.151818	0.083042	-156193.326
850	0.001141	0.002072	0.014778	0.005364	0.003774	0.008702	0.004535	0.004687	0.002980	0.000386	0.000386	0.109819	0.118708	-156151.201
855	0.001110	0.002017	0.013845	0.005221	0.003166	0.008770	0.005146	0.004563	0.003007	0.000376	0.000376	0.132707	0.095707	-156139.094
860	0.001114	0.002024	0.014488	0.005550	0.003292	0.009371	0.004850	0.004617	0.002925	0.000377	0.000377	0.132707	0.124714	-156170.476
865	0.001095	0.001989	0.013056	0.005454	0.003775	0.010167	0.004766	0.004537	0.002961	0.000317	0.000317	0.177467	0.124714	-156173.437
870	0.001137	0.002065	0.014123	0.005663	0.004278	0.011869	0.004948	0.004710	0.002844	0.000329	0.000329	0.151063	0.124714	-156130.639
875	0.001080	0.001963	0.014003	0.004935	0.003808	0.012929	0.004702	0.004476	0.002864	0.000312	0.000312	0.133355	0.154851	-156152.229
880	0.001190	0.002163	0.015777	0.005123	0.004062	0.013090	0.004254	0.004890	0.003011	0.000344	0.000344	0.175725	0.154851	-156145.406
885	0.001191	0.002164	0.015457	0.005126	0.004238	0.014750	0.004256	0.004892	0.002903	0.000344	0.000344	0.151595	0.170605	-156110.733
890	0.001138	0.002067	0.014746	0.004778	0.004336	0.012356	0.004066	0.004720	0.002771	0.000341	0.000341	0.147277	0.170605	-156196.963
895	0.001167	0.001843	0.015286	0.005168	0.004295	0.012246	0.005614	0.004821	0.002932	0.000384	0.000384	0.181911	0.141620	-156177.504
900	0.001183	0.001868	0.014682	0.005185	0.004159	0.011450	0.005691	0.004906	0.003157	0.000389	0.000389	0.140882	0.113478	-156164.428
905	0.001148	0.001813	0.015797	0.005033	0.004114	0.011567	0.006104	0.004761	0.003013	0.000403	0.000403	0.205778	0.088719	-156129.397
910	0.001148	0.002183	0.014808	0.005033	0.003673	0.010134	0.006104	0.004761	0.003324	0.000474	0.000474	0.223161	0.127359	-156159.955
915	0.001148	0.002183	0.014693	0.005033	0.003516	0.009438	0.005152	0.004761	0.003452	0.000474	0.000474	0.255951	0.127359	-156133.709
920	0.001196	0.002273	0.014904	0.005355	0.003671	0.009560	0.005013	0.004959	0.003588	0.000562	0.000562	0.270333	0.116054	-156180.201
925	0.001151	0.002605	0.013416	0.005154	0.003694	0.009642	0.004825	0.004773	0.003329	0.000477	0.000477	0.269970	0.139720	-156140.173
930	0.001123	0.002012	0.012596	0.005030	0.004380	0.009774	0.005131	0.004658	0.003265	0.000465	0.000465	0.281145	0.139720	-156144.973
935	0.001160	0.002348	0.014021	0.005462	0.003753	0.010865	0.005780	0.004737	0.003358	0.000480	0.000480	0.216217	0.211642	-156127.500
940	0.001135	0.002298	0.012611	0.005703	0.003383	0.011933	0.005866	0.004636	0.003343	0.000424	0.000424	0.262012	0.211642	-156158.245
945	0.001136	0.002912	0.013203	0.005639	0.003226	0.010900	0.005871	0.004639	0.003490	0.000424	0.000424	0.226869	0.209731	-156128.534
950	0.001144	0.002333	0.013392	0.005833	0.002813	0.009119	0.005148	0.004641	0.003454	0.000465	0.000465	0.226869	0.145982	-156141.954
